"metric","category","clip_id","method","status","reason"
"temporal","hard","hard_05","no_offline_repair","ok",
"detail","hard","hard_05","no_offline_repair","ok",
"frequency","hard","hard_05","no_offline_repair","ok",
"geometry","hard","hard_06","proposed","ok",
"temporal","hard","hard_06","proposed","ok",
"detail","hard","hard_06","proposed","ok",
"frequency","hard","hard_06","proposed","ok",
"geometry","hard","hard_06","no_reliability_gates","ok",
"temporal","hard","hard_06","no_reliability_gates","ok",
"detail","hard","hard_06","no_reliability_gates","ok",
"frequency","hard","hard_06","no_reliability_gates","ok",
"geometry","hard","hard_06","no_trajectory_smoothing","ok",
"temporal","hard","hard_06","no_trajectory_smoothing","ok",
"detail","hard","hard_06","no_trajectory_smoothing","ok",
"frequency","hard","hard_06","no_trajectory_smoothing","ok",
"geometry","hard","hard_06","no_offline_repair","ok",
"temporal","hard","hard_06","no_offline_repair","ok",
"detail","hard","hard_06","no_offline_repair","ok",
"frequency","hard","hard_06","no_offline_repair","ok",
"geometry","hard","hard_07","proposed","ok",
"temporal","hard","hard_07","proposed","ok",
"detail","hard","hard_07","proposed","ok",
"frequency","hard","hard_07","proposed","ok",
"geometry","hard","hard_07","no_reliability_gates","ok",
"temporal","hard","hard_07","no_reliability_gates","ok",
"detail","hard","hard_07","no_reliability_gates","ok",
"frequency","hard","hard_07","no_reliability_gates","ok",
"geometry","hard","hard_07","no_trajectory_smoothing","ok",
"temporal","hard","hard_07","no_trajectory_smoothing","ok",
"detail","hard","hard_07","no_trajectory_smoothing","ok",
"frequency","hard","hard_07","no_trajectory_smoothing","ok",
"geometry","hard","hard_07","no_offline_repair","ok",
"temporal","hard","hard_07","no_offline_repair","ok",
"detail","hard","hard_07","no_offline_repair","ok",
"frequency","hard","hard_07","no_offline_repair","ok",
"geometry","hard","hard_08","proposed","ok",
"temporal","hard","hard_08","proposed","ok",
"detail","hard","hard_08","proposed","ok",
"frequency","hard","hard_08","proposed","ok",
"geometry","hard","hard_08","no_reliability_gates","ok",
"temporal","hard","hard_08","no_reliability_gates","ok",
"detail","hard","hard_08","no_reliability_gates","ok",
"frequency","hard","hard_08","no_reliability_gates","ok",
"geometry","hard","hard_08","no_trajectory_smoothing","ok",
"temporal","hard","hard_08","no_trajectory_smoothing","ok",
"detail","hard","hard_08","no_trajectory_smoothing","ok",
"frequency","hard","hard_08","no_trajectory_smoothing","ok",
"geometry","hard","hard_08","no_offline_repair","ok",
"temporal","hard","hard_08","no_offline_repair","ok",
"detail","hard","hard_08","no_offline_repair","ok",
"frequency","hard","hard_08","no_offline_repair","ok",
"geometry","hard","hard_09","proposed","ok",
"temporal","hard","hard_09","proposed","ok",
"detail","hard","hard_09","proposed","ok",
"frequency","hard","hard_09","proposed","ok",
"geometry","hard","hard_09","no_reliability_gates","ok",
"temporal","hard","hard_09","no_reliability_gates","ok",
"detail","hard","hard_09","no_reliability_gates","ok",
"frequency","hard","hard_09","no_reliability_gates","ok",
"geometry","hard","hard_09","no_trajectory_smoothing","ok",
"temporal","hard","hard_09","no_trajectory_smoothing","ok",
"detail","hard","hard_09","no_trajectory_smoothing","ok",
"frequency","hard","hard_09","no_trajectory_smoothing","ok",
"geometry","hard","hard_09","no_offline_repair","ok",
"temporal","hard","hard_09","no_offline_repair","ok",
"detail","hard","hard_09","no_offline_repair","ok",
"frequency","hard","hard_09","no_offline_repair","ok",
"geometry","hard","hard_10","proposed","ok",
"temporal","hard","hard_10","proposed","ok",
"detail","hard","hard_10","proposed","ok",
"frequency","hard","hard_10","proposed","ok",
"geometry","hard","hard_10","no_reliability_gates","ok",
"temporal","hard","hard_10","no_reliability_gates","ok",
"detail","hard","hard_10","no_reliability_gates","ok",
"frequency","hard","hard_10","no_reliability_gates","ok",
"geometry","hard","hard_10","no_trajectory_smoothing","ok",
"temporal","hard","hard_10","no_trajectory_smoothing","ok",
"detail","hard","hard_10","no_trajectory_smoothing","ok",
"frequency","hard","hard_10","no_trajectory_smoothing","ok",
"geometry","hard","hard_10","no_offline_repair","ok",
"temporal","hard","hard_10","no_offline_repair","ok",
"detail","hard","hard_10","no_offline_repair","ok",
"frequency","hard","hard_10","no_offline_repair","ok",
"geometry","screen_video","screen_video_01","proposed","ok",
"temporal","screen_video","screen_video_01","proposed","ok",
"detail","screen_video","screen_video_01","proposed","ok",
"frequency","screen_video","screen_video_01","proposed","ok",
"geometry","screen_video","screen_video_01","no_reliability_gates","ok",
"temporal","screen_video","screen_video_01","no_reliability_gates","ok",
"detail","screen_video","screen_video_01","no_reliability_gates","ok",
"frequency","screen_video","screen_video_01","no_reliability_gates","ok",
"geometry","screen_video","screen_video_01","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_01","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_01","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_01","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_01","no_offline_repair","ok",
"temporal","screen_video","screen_video_01","no_offline_repair","ok",
"detail","screen_video","screen_video_01","no_offline_repair","ok",
"frequency","screen_video","screen_video_01","no_offline_repair","ok",
"geometry","screen_video","screen_video_02","proposed","ok",
"temporal","screen_video","screen_video_02","proposed","ok",
"detail","screen_video","screen_video_02","proposed","ok",
"frequency","screen_video","screen_video_02","proposed","ok",
"geometry","screen_video","screen_video_02","no_reliability_gates","ok",
"temporal","screen_video","screen_video_02","no_reliability_gates","ok",
"detail","screen_video","screen_video_02","no_reliability_gates","ok",
"frequency","screen_video","screen_video_02","no_reliability_gates","ok",
"geometry","screen_video","screen_video_02","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_02","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_02","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_02","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_02","no_offline_repair","ok",
"temporal","screen_video","screen_video_02","no_offline_repair","ok",
"detail","screen_video","screen_video_02","no_offline_repair","ok",
"frequency","screen_video","screen_video_02","no_offline_repair","ok",
"geometry","screen_video","screen_video_03","proposed","ok",
"temporal","screen_video","screen_video_03","proposed","ok",
"detail","screen_video","screen_video_03","proposed","ok",
"frequency","screen_video","screen_video_03","proposed","ok",
"geometry","screen_video","screen_video_03","no_reliability_gates","ok",
"temporal","screen_video","screen_video_03","no_reliability_gates","ok",
"detail","screen_video","screen_video_03","no_reliability_gates","ok",
"frequency","screen_video","screen_video_03","no_reliability_gates","ok",
"geometry","screen_video","screen_video_03","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_03","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_03","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_03","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_03","no_offline_repair","ok",
"temporal","screen_video","screen_video_03","no_offline_repair","ok",
"detail","screen_video","screen_video_03","no_offline_repair","ok",
"frequency","screen_video","screen_video_03","no_offline_repair","ok",
"geometry","screen_video","screen_video_04","proposed","ok",
"temporal","screen_video","screen_video_04","proposed","ok",
"detail","screen_video","screen_video_04","proposed","ok",
"frequency","screen_video","screen_video_04","proposed","ok",
"geometry","screen_video","screen_video_04","no_reliability_gates","ok",
"temporal","screen_video","screen_video_04","no_reliability_gates","ok",
"detail","screen_video","screen_video_04","no_reliability_gates","ok",
"frequency","screen_video","screen_video_04","no_reliability_gates","ok",
"geometry","screen_video","screen_video_04","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_04","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_04","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_04","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_04","no_offline_repair","ok",
"temporal","screen_video","screen_video_04","no_offline_repair","ok",
"detail","screen_video","screen_video_04","no_offline_repair","ok",
"frequency","screen_video","screen_video_04","no_offline_repair","ok",
"geometry","screen_video","screen_video_05","proposed","ok",
"temporal","screen_video","screen_video_05","proposed","ok",
"detail","screen_video","screen_video_05","proposed","ok",
"frequency","screen_video","screen_video_05","proposed","ok",
"geometry","screen_video","screen_video_05","no_reliability_gates","ok",
"temporal","screen_video","screen_video_05","no_reliability_gates","ok",
"detail","screen_video","screen_video_05","no_reliability_gates","ok",
"frequency","screen_video","screen_video_05","no_reliability_gates","ok",
"geometry","screen_video","screen_video_05","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_05","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_05","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_05","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_05","no_offline_repair","ok",
"temporal","screen_video","screen_video_05","no_offline_repair","ok",
"detail","screen_video","screen_video_05","no_offline_repair","ok",
"frequency","screen_video","screen_video_05","no_offline_repair","ok",
"geometry","screen_video","screen_video_06","proposed","ok",
"temporal","screen_video","screen_video_06","proposed","ok",
"detail","screen_video","screen_video_06","proposed","ok",
"frequency","screen_video","screen_video_06","proposed","ok",
"geometry","screen_video","screen_video_06","no_reliability_gates","ok",
"temporal","screen_video","screen_video_06","no_reliability_gates","ok",
"detail","screen_video","screen_video_06","no_reliability_gates","ok",
"frequency","screen_video","screen_video_06","no_reliability_gates","ok",
"geometry","screen_video","screen_video_06","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_06","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_06","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_06","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_06","no_offline_repair","ok",
"temporal","screen_video","screen_video_06","no_offline_repair","ok",
"detail","screen_video","screen_video_06","no_offline_repair","ok",
"frequency","screen_video","screen_video_06","no_offline_repair","ok",
"geometry","screen_video","screen_video_07","proposed","ok",
"temporal","screen_video","screen_video_07","proposed","ok",
"detail","screen_video","screen_video_07","proposed","ok",
"frequency","screen_video","screen_video_07","proposed","ok",
"geometry","screen_video","screen_video_07","no_reliability_gates","ok",
"temporal","screen_video","screen_video_07","no_reliability_gates","ok",
"detail","screen_video","screen_video_07","no_reliability_gates","ok",
"frequency","screen_video","screen_video_07","no_reliability_gates","ok",
"geometry","screen_video","screen_video_07","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_07","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_07","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_07","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_07","no_offline_repair","ok",
"temporal","screen_video","screen_video_07","no_offline_repair","ok",
"detail","screen_video","screen_video_07","no_offline_repair","ok",
"frequency","screen_video","screen_video_07","no_offline_repair","ok",
"geometry","screen_video","screen_video_08","proposed","ok",
"temporal","screen_video","screen_video_08","proposed","ok",
"detail","screen_video","screen_video_08","proposed","ok",
"frequency","screen_video","screen_video_08","proposed","ok",
"geometry","screen_video","screen_video_08","no_reliability_gates","ok",
"temporal","screen_video","screen_video_08","no_reliability_gates","ok",
"detail","screen_video","screen_video_08","no_reliability_gates","ok",
"frequency","screen_video","screen_video_08","no_reliability_gates","ok",
"geometry","screen_video","screen_video_08","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_08","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_08","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_08","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_08","no_offline_repair","ok",
"temporal","screen_video","screen_video_08","no_offline_repair","ok",
"detail","screen_video","screen_video_08","no_offline_repair","ok",
"frequency","screen_video","screen_video_08","no_offline_repair","ok",
"geometry","screen_video","screen_video_09","proposed","ok",
"temporal","screen_video","screen_video_09","proposed","ok",
"detail","screen_video","screen_video_09","proposed","ok",
"frequency","screen_video","screen_video_09","proposed","ok",
"geometry","screen_video","screen_video_09","no_reliability_gates","ok",
"temporal","screen_video","screen_video_09","no_reliability_gates","ok",
"detail","screen_video","screen_video_09","no_reliability_gates","ok",
"frequency","screen_video","screen_video_09","no_reliability_gates","ok",
"geometry","screen_video","screen_video_09","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_09","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_09","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_09","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_09","no_offline_repair","ok",
"temporal","screen_video","screen_video_09","no_offline_repair","ok",
"detail","screen_video","screen_video_09","no_offline_repair","ok",
"frequency","screen_video","screen_video_09","no_offline_repair","ok",
"geometry","screen_video","screen_video_10","proposed","ok",
"temporal","screen_video","screen_video_10","proposed","ok",
"detail","screen_video","screen_video_10","proposed","ok",
"frequency","screen_video","screen_video_10","proposed","ok",
"geometry","screen_video","screen_video_10","no_reliability_gates","ok",
"temporal","screen_video","screen_video_10","no_reliability_gates","ok",
"detail","screen_video","screen_video_10","no_reliability_gates","ok",
"frequency","screen_video","screen_video_10","no_reliability_gates","ok",
"geometry","screen_video","screen_video_10","no_trajectory_smoothing","ok",
"temporal","screen_video","screen_video_10","no_trajectory_smoothing","ok",
"detail","screen_video","screen_video_10","no_trajectory_smoothing","ok",
"frequency","screen_video","screen_video_10","no_trajectory_smoothing","ok",
"geometry","screen_video","screen_video_10","no_offline_repair","ok",
"temporal","screen_video","screen_video_10","no_offline_repair","ok",
"detail","screen_video","screen_video_10","no_offline_repair","ok",
"frequency","screen_video","screen_video_10","no_offline_repair","ok",
"geometry","scrolling","scrolling_01","proposed","ok",
"temporal","scrolling","scrolling_01","proposed","ok",
"detail","scrolling","scrolling_01","proposed","ok",
"frequency","scrolling","scrolling_01","proposed","ok",
"geometry","scrolling","scrolling_01","no_reliability_gates","ok",
"temporal","scrolling","scrolling_01","no_reliability_gates","ok",
"detail","scrolling","scrolling_01","no_reliability_gates","ok",
"frequency","scrolling","scrolling_01","no_reliability_gates","ok",
"geometry","scrolling","scrolling_01","no_trajectory_smoothing","ok",
"temporal","scrolling","scrolling_01","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_01","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_01","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_01","no_offline_repair","ok",
"temporal","scrolling","scrolling_01","no_offline_repair","ok",
"detail","scrolling","scrolling_01","no_offline_repair","ok",
"frequency","scrolling","scrolling_01","no_offline_repair","ok",
"geometry","scrolling","scrolling_02","proposed","ok",
"temporal","scrolling","scrolling_02","proposed","ok",
"detail","scrolling","scrolling_02","proposed","ok",
"frequency","scrolling","scrolling_02","proposed","ok",
"geometry","scrolling","scrolling_02","no_reliability_gates","ok",
"temporal","scrolling","scrolling_02","no_reliability_gates","ok",
"detail","scrolling","scrolling_02","no_reliability_gates","ok",
"frequency","scrolling","scrolling_02","no_reliability_gates","ok",
"geometry","scrolling","scrolling_02","no_trajectory_smoothing","ok",
"temporal","scrolling","scrolling_02","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_02","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_02","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_02","no_offline_repair","ok",
"temporal","scrolling","scrolling_02","no_offline_repair","ok",
"detail","scrolling","scrolling_02","no_offline_repair","ok",
"frequency","scrolling","scrolling_02","no_offline_repair","ok",
"geometry","scrolling","scrolling_03","proposed","ok",
"temporal","scrolling","scrolling_03","proposed","ok",
"detail","scrolling","scrolling_03","proposed","ok",
"frequency","scrolling","scrolling_03","proposed","ok",
"geometry","scrolling","scrolling_03","no_reliability_gates","ok",
"temporal","scrolling","scrolling_03","no_reliability_gates","ok",
"detail","scrolling","scrolling_03","no_reliability_gates","ok",
"frequency","scrolling","scrolling_03","no_reliability_gates","ok",
"geometry","scrolling","scrolling_03","no_trajectory_smoothing","ok",
"temporal","scrolling","scrolling_03","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_03","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_03","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_03","no_offline_repair","ok",
"temporal","scrolling","scrolling_03","no_offline_repair","ok",
"detail","scrolling","scrolling_03","no_offline_repair","ok",
"frequency","scrolling","scrolling_03","no_offline_repair","ok",
"geometry","scrolling","scrolling_04","proposed","ok",
"temporal","scrolling","scrolling_04","proposed","ok",
"detail","scrolling","scrolling_04","proposed","ok",
"frequency","scrolling","scrolling_04","proposed","ok",
"geometry","scrolling","scrolling_04","no_reliability_gates","ok",
"temporal","scrolling","scrolling_04","no_reliability_gates","ok",
"detail","scrolling","scrolling_04","no_reliability_gates","ok",
"frequency","scrolling","scrolling_04","no_reliability_gates","ok",
"geometry","scrolling","scrolling_04","no_trajectory_smoothing","ok",
"temporal","scrolling","scrolling_04","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_04","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_04","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_04","no_offline_repair","ok",
"temporal","scrolling","scrolling_04","no_offline_repair","ok",
"detail","scrolling","scrolling_04","no_offline_repair","ok",
"frequency","scrolling","scrolling_04","no_offline_repair","ok",
"geometry","scrolling","scrolling_05","proposed","ok",
"temporal","scrolling","scrolling_05","proposed","ok",
"detail","scrolling","scrolling_05","proposed","ok",
"frequency","scrolling","scrolling_05","proposed","ok",
"geometry","scrolling","scrolling_05","no_reliability_gates","ok",
"temporal","scrolling","scrolling_05","no_reliability_gates","ok",
"detail","scrolling","scrolling_05","no_reliability_gates","ok",
"frequency","scrolling","scrolling_05","no_reliability_gates","ok",
"geometry","scrolling","scrolling_05","no_trajectory_smoothing","ok",
"temporal","scrolling","scrolling_05","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_05","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_05","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_05","no_offline_repair","ok",
"temporal","scrolling","scrolling_05","no_offline_repair","ok",
"detail","scrolling","scrolling_05","no_offline_repair","ok",
"frequency","scrolling","scrolling_05","no_offline_repair","ok",
"geometry","scrolling","scrolling_06","proposed","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_06","proposed","ok",
"detail","scrolling","scrolling_06","proposed","ok",
"frequency","scrolling","scrolling_06","proposed","ok",
"geometry","scrolling","scrolling_06","no_reliability_gates","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_06","no_reliability_gates","ok",
"detail","scrolling","scrolling_06","no_reliability_gates","ok",
"frequency","scrolling","scrolling_06","no_reliability_gates","ok",
"geometry","scrolling","scrolling_06","no_trajectory_smoothing","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_06","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_06","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_06","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_06","no_offline_repair","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_06","no_offline_repair","ok",
"detail","scrolling","scrolling_06","no_offline_repair","ok",
"frequency","scrolling","scrolling_06","no_offline_repair","ok",
"geometry","scrolling","scrolling_07","proposed","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_07","proposed","ok",
"detail","scrolling","scrolling_07","proposed","ok",
"frequency","scrolling","scrolling_07","proposed","ok",
"geometry","scrolling","scrolling_07","no_reliability_gates","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_07","no_reliability_gates","ok",
"detail","scrolling","scrolling_07","no_reliability_gates","ok",
"frequency","scrolling","scrolling_07","no_reliability_gates","ok",
"geometry","scrolling","scrolling_07","no_trajectory_smoothing","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_07","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_07","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_07","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_07","no_offline_repair","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_07","no_offline_repair","ok",
"detail","scrolling","scrolling_07","no_offline_repair","ok",
"frequency","scrolling","scrolling_07","no_offline_repair","ok",
"geometry","scrolling","scrolling_08","proposed","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_08","proposed","ok",
"detail","scrolling","scrolling_08","proposed","ok",
"frequency","scrolling","scrolling_08","proposed","ok",
"geometry","scrolling","scrolling_08","no_reliability_gates","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_08","no_reliability_gates","ok",
"detail","scrolling","scrolling_08","no_reliability_gates","ok",
"frequency","scrolling","scrolling_08","no_reliability_gates","ok",
"geometry","scrolling","scrolling_08","no_trajectory_smoothing","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_08","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_08","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_08","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_08","no_offline_repair","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_08","no_offline_repair","ok",
"detail","scrolling","scrolling_08","no_offline_repair","ok",
"frequency","scrolling","scrolling_08","no_offline_repair","ok",
"geometry","scrolling","scrolling_09","proposed","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_09","proposed","ok",
"detail","scrolling","scrolling_09","proposed","ok",
"frequency","scrolling","scrolling_09","proposed","ok",
"geometry","scrolling","scrolling_09","no_reliability_gates","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_09","no_reliability_gates","ok",
"detail","scrolling","scrolling_09","no_reliability_gates","ok",
"frequency","scrolling","scrolling_09","no_reliability_gates","ok",
"geometry","scrolling","scrolling_09","no_trajectory_smoothing","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_09","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_09","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_09","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_09","no_offline_repair","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_09","no_offline_repair","ok",
"detail","scrolling","scrolling_09","no_offline_repair","ok",
"frequency","scrolling","scrolling_09","no_offline_repair","ok",
"geometry","scrolling","scrolling_10","proposed","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_10","proposed","ok",
"detail","scrolling","scrolling_10","proposed","ok",
"frequency","scrolling","scrolling_10","proposed","ok",
"geometry","scrolling","scrolling_10","no_reliability_gates","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_10","no_reliability_gates","ok",
"detail","scrolling","scrolling_10","no_reliability_gates","ok",
"frequency","scrolling","scrolling_10","no_reliability_gates","ok",
"geometry","scrolling","scrolling_10","no_trajectory_smoothing","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_10","no_trajectory_smoothing","ok",
"detail","scrolling","scrolling_10","no_trajectory_smoothing","ok",
"frequency","scrolling","scrolling_10","no_trajectory_smoothing","ok",
"geometry","scrolling","scrolling_10","no_offline_repair","skipped","no overlapping annotation and estimate frames"
"temporal","scrolling","scrolling_10","no_offline_repair","ok",
"detail","scrolling","scrolling_10","no_offline_repair","ok",
"frequency","scrolling","scrolling_10","no_offline_repair","ok",
"geometry","static","static_01","proposed","ok",
"temporal","static","static_01","proposed","ok",
"detail","static","static_01","proposed","ok",
"frequency","static","static_01","proposed","ok",
"geometry","static","static_01","no_reliability_gates","ok",
"temporal","static","static_01","no_reliability_gates","ok",
"detail","static","static_01","no_reliability_gates","ok",
"frequency","static","static_01","no_reliability_gates","ok",
"geometry","static","static_01","no_trajectory_smoothing","ok",
"temporal","static","static_01","no_trajectory_smoothing","ok",
"detail","static","static_01","no_trajectory_smoothing","ok",
"frequency","static","static_01","no_trajectory_smoothing","ok",
"geometry","static","static_01","no_offline_repair","ok",
"temporal","static","static_01","no_offline_repair","ok",
"detail","static","static_01","no_offline_repair","ok",
