category,clip_id,method,method_status,processed_frames,elapsed_seconds,corner_rmse_px,quad_iou,aspect_relative_error,geometry_status,geometry_reason,translation_px,rotation_abs_deg,scale_abs_delta,temporal_status,temporal_reason,detail_status,detail_reason,frequency_status,frequency_reason
scrolling,scrolling_02,no_reliability_gates,ok,300,42.31280049998895,882.925537109375,0.3890721865218445,0.025913560794911167,ok,,8.076172360210414,0.025112298658302775,0.002175588254710468,ok,,missing,missing metric json,missing,missing metric json
scrolling,scrolling_02,no_trajectory_smoothing,ok,300,38.31289580001612,801.8308181762695,0.4434625555203253,0.01940626861238876,ok,,4.057006146521213,0.012743654179597793,0.000523029105071363,ok,,missing,missing metric json,missing,missing metric json
scrolling,scrolling_02,no_offline_repair,ok,300,40.093774299981305,801.4821014404297,0.4432346335653137,0.019035230274959174,ok,,3.9796767357735274,0.012649198361346214,0.0003849010653207972,ok,,missing,missing metric json,missing,missing metric json
static,static_01,proposed,ok,300,38.599535500019556,3.43719345331192,0.9957726298166587,0.001015183163570894,ok,,5.162153390110322,0.026958651272075574,0.001348902039529766,ok,,missing,missing metric json,missing,missing metric json
static,static_01,no_reliability_gates,ok,300,32.0340903000033,3.460717797279358,0.9956886073824545,0.000980628745346848,ok,,5.160590144592069,0.02698995560990407,0.0013483077100897318,ok,,missing,missing metric json,missing,missing metric json
static,static_01,no_trajectory_smoothing,ok,300,39.619865299988305,2.9173781871795654,0.9964474674707164,0.0009387531132493635,ok,,5.303777273316265,0.02754608964746147,0.001379715365898889,ok,,missing,missing metric json,missing,missing metric json
static,static_01,no_offline_repair,ok,300,38.76671229998465,3.43719345331192,0.9957726298166587,0.001015183163570894,ok,,5.162153390110322,0.026958651272075574,0.001348902039529766,ok,,missing,missing metric json,missing,missing metric json
static,static_02,proposed,ok,300,39.70953009999357,1.9141537845134735,0.997949995910165,0.00033516984200746865,ok,,2.6438370692994666,0.007758288445037944,0.0005421292044297332,ok,,missing,missing metric json,missing,missing metric json
static,static_02,no_reliability_gates,ok,300,34.279711500013946,1.9077427387237549,0.9979735218817157,0.00033780705638597697,ok,,2.6430953670099853,0.007776688171604296,0.0005423864212545573,ok,,missing,missing metric json,missing,missing metric json
static,static_02,no_trajectory_smoothing,ok,300,37.580363999994006,1.7943862974643707,0.9984202897972365,0.00038884930794718775,ok,,2.7316352299375164,0.008363075148349637,0.0005819399295765347,ok,,missing,missing metric json,missing,missing metric json
static,static_02,no_offline_repair,ok,300,38.45478150001145,1.9141537845134735,0.997949995910165,0.00033516984200746865,ok,,2.6438370692994666,0.007758288445037944,0.0005421292044297332,ok,,missing,missing metric json,missing,missing metric json
weak_border,weak_border_01,proposed,ok,300,35.11097219999647,206.26935958862305,0.8186776252966962,0.008318676726412606,ok,,0.028793279052015962,0.00025203535321354344,1.9175729829816463e-05,ok,,missing,missing metric json,missing,missing metric json
weak_border,weak_border_01,no_reliability_gates,ok,300,35.922938300005626,41.888391971588135,0.9664285122976135,0.007798461172852801,ok,,3.250987030430626,0.022412877324952955,0.001832467898451921,ok,,missing,missing metric json,missing,missing metric json
weak_border,weak_border_01,no_trajectory_smoothing,ok,300,35.29986570001347,206.2693328857422,0.8186776252966962,0.008318760422766823,ok,,0.23843966451659646,0.0008372952652023135,0.00014999891518314252,ok,,missing,missing metric json,missing,missing metric json
weak_border,weak_border_01,no_offline_repair,ok,300,36.116411800001515,206.26935958862305,0.8186776252966962,0.008318676726412606,ok,,0.028793279052015962,0.00025203535321354344,1.9175729829816463e-05,ok,,missing,missing metric json,missing,missing metric json
weak_border,weak_border_02,proposed,ok,300,31.299062099977164,126.04499816894531,0.8926742158832729,0.007948878868291947,ok,,0.005159921158934343,0.00015087311161891684,7.86944695099665e-07,ok,,missing,missing metric json,missing,missing metric json
weak_border,weak_border_02,no_reliability_gates,ok,300,31.089709299994865,49.84101152420044,0.9604570317694279,0.009269827121531671,ok,,10.413920689556923,0.039117234266296215,0.007066686113801313,ok,,missing,missing metric json,missing,missing metric json
weak_border,weak_border_02,no_trajectory_smoothing,ok,300,29.263439400005154,126.04494094848633,0.8926742158832729,0.007948766807080685,ok,,0.009284678548766292,0.00027215343524354083,1.4258027524962978e-06,ok,,missing,missing metric json,missing,missing metric json
weak_border,weak_border_02,no_offline_repair,ok,300,31.187284799991176,126.04499816894531,0.8926742158832729,0.007948878868291947,ok,,0.005159921158934343,0.00015087311161891684,7.86944695099665e-07,ok,,missing,missing metric json,missing,missing metric json
