frame,method,translation_px
100,Frame-wise detection,1.7882642058921254
101,Frame-wise detection,1.7221602116201198
102,Frame-wise detection,1.5683714323742926
103,Frame-wise detection,1.6108588482197659
104,Frame-wise detection,1.5347011193688285
105,Frame-wise detection,1.4874867062729287
106,Frame-wise detection,1.612467113167634
107,Frame-wise detection,1.3706375823910617
108,Frame-wise detection,1.3882807151336882
109,Frame-wise detection,1.2683371642063128
110,Frame-wise detection,1.2988137745002315
111,Frame-wise detection,1.204340096604262
112,Frame-wise detection,1.1280891705869718
113,Frame-wise detection,1.0558386007991882
114,Frame-wise detection,1.0724994017310558
115,Frame-wise detection,0.8971692110019821
116,Frame-wise detection,0.8643391945841064
117,Frame-wise detection,0.8028120578577013
118,Frame-wise detection,0.9194799572093287
119,Frame-wise detection,0.799757145887506
120,Frame-wise detection,0.7419051938613985
121,Frame-wise detection,0.7748664786749191
122,Frame-wise detection,0.9550191976799567
123,Frame-wise detection,0.8126868541045537
124,Frame-wise detection,0.893009543816455
125,Frame-wise detection,0.9011045043288163
126,Frame-wise detection,0.9113127420278899
127,Frame-wise detection,0.916240686426238
128,Frame-wise detection,0.9894455834466699
129,Frame-wise detection,1.044836221867271
130,Frame-wise detection,0.9938934793918639
131,Frame-wise detection,1.3447218052501113
132,Frame-wise detection,1.3089042637446835
133,Frame-wise detection,1.3244219347543544
134,Frame-wise detection,1.3679003680349098
135,Frame-wise detection,1.3927286089749198
136,Frame-wise detection,1.5532173838156385
137,Frame-wise detection,1.5361447636243384
138,Frame-wise detection,1.621170339408167
139,Frame-wise detection,1.5472459747014817
140,Frame-wise detection,1.6835339550328814
141,Frame-wise detection,1.8028031685313093
142,Frame-wise detection,1.6785497649631889
143,Frame-wise detection,1.747982097145533
144,Frame-wise detection,1.6969943659117102
145,Frame-wise detection,1.7470116893339758
146,Frame-wise detection,1.7217967740186868
147,Frame-wise detection,1.630193819608927
148,Frame-wise detection,1.5539931316452105
149,Frame-wise detection,1.5589692873981391
150,Frame-wise detection,1.4925217112173816
151,Frame-wise detection,1.3963029506616038
152,Frame-wise detection,1.4003914288841028
153,Frame-wise detection,1.3360616258842286
154,Frame-wise detection,1.1926753145323903
155,Frame-wise detection,1.1753034429762554
156,Frame-wise detection,1.2946224383048606
157,Frame-wise detection,1.1083872002439952
158,Frame-wise detection,1.0091506038613953
159,Frame-wise detection,1.1028819682597741
160,Frame-wise detection,0.8798928897512162
161,Frame-wise detection,0.7205895709681256
162,Frame-wise detection,0.7245262687809569
163,Frame-wise detection,0.7258887046701347
164,Frame-wise detection,0.819599782470387
165,Frame-wise detection,0.8586016140660103
166,Frame-wise detection,0.6750002324687004
167,Frame-wise detection,0.8864995667094686
168,Frame-wise detection,0.76882543066256
169,Frame-wise detection,0.8892030234615204
170,Frame-wise detection,0.9406434620336818
171,Frame-wise detection,0.9846091976022343
172,Frame-wise detection,1.0109187718125197
173,Frame-wise detection,1.0774023592723376
174,Frame-wise detection,1.0591555417175647
175,Frame-wise detection,1.2071347258797887
176,Frame-wise detection,1.3133312256099903
177,Frame-wise detection,1.3741430710561104
178,Frame-wise detection,1.5379615135008915
179,Frame-wise detection,1.5061321138271258
0,Content optical flow,1.1546602731718434
1,Content optical flow,1.230310486085171
2,Content optical flow,1.162517139142454
3,Content optical flow,1.086205495770332
4,Content optical flow,1.0426486851186985
5,Content optical flow,1.2648762843748238
6,Content optical flow,1.2313272458354139
7,Content optical flow,1.254705890961581
8,Content optical flow,1.188131697602223
9,Content optical flow,1.230614081236323
10,Content optical flow,1.322258715700334
11,Content optical flow,1.2263729728691308
12,Content optical flow,1.1339155502312996
13,Content optical flow,1.1671578166184053
14,Content optical flow,1.2660380922553633
15,Content optical flow,1.1051791651644651
16,Content optical flow,1.0011808994369333
17,Content optical flow,1.0018643648067982
18,Content optical flow,1.0406604867447333
19,Content optical flow,1.1486441548484412
20,Content optical flow,1.0840016284280467
21,Content optical flow,1.0097526734574394
22,Content optical flow,0.9532218770193982
23,Content optical flow,0.9974493146540477
24,Content optical flow,0.9676701145719626
25,Content optical flow,0.9155536790903462
26,Content optical flow,0.9061970903033725
27,Content optical flow,0.8462217181484631
28,Content optical flow,0.97108404565879
29,Content optical flow,0.6917322888389666
30,Content optical flow,0.8121203384077597
31,Content optical flow,0.7153480967007404
32,Content optical flow,0.7906083630751978
33,Content optical flow,0.706891769607495
34,Content optical flow,0.7167049251660387
35,Content optical flow,0.7015318594902931
36,Content optical flow,0.6581693124738512
37,Content optical flow,0.6830121133575502
38,Content optical flow,0.5194020339189682
39,Content optical flow,0.6411180956806823
40,Content optical flow,0.5539205213147357
41,Content optical flow,0.5749697871883453
42,Content optical flow,0.6327339245835707
43,Content optical flow,0.5962426338129481
44,Content optical flow,0.63954772107209
45,Content optical flow,0.37956913951906746
46,Content optical flow,0.4537402455009585
47,Content optical flow,0.5678532622954737
48,Content optical flow,0.4435016993512822
49,Content optical flow,0.504145835307817
50,Content optical flow,0.6237267164293391
51,Content optical flow,0.5822399653761521
52,Content optical flow,0.48281766759965716
53,Content optical flow,0.5807950890524157
54,Content optical flow,0.6074244252393762
55,Content optical flow,0.5899103728813305
56,Content optical flow,0.5989013982353625
57,Content optical flow,0.6342594984900546
58,Content optical flow,0.5581951829865607
59,Content optical flow,0.6797465065024915
60,Content optical flow,0.6393745724440336
61,Content optical flow,0.7473655653570305
62,Content optical flow,0.776812006583017
63,Content optical flow,0.7255551779681824
64,Content optical flow,0.8445081502464556
65,Content optical flow,0.8580843868524598
66,Content optical flow,0.863359087965925
67,Content optical flow,0.9385416490921893
68,Content optical flow,0.9050909565159302
69,Content optical flow,0.9352315848968334
70,Content optical flow,0.9847300701790878
71,Content optical flow,1.003458078996381
72,Content optical flow,1.1014696851757588
73,Content optical flow,0.9152309093394109
74,Content optical flow,1.0623952632176055
75,Content optical flow,0.9819483644399664
76,Content optical flow,1.0914080102078594
77,Content optical flow,1.1552274181055107
78,Content optical flow,1.1563240455860029
79,Content optical flow,1.2283059850927946
80,Content optical flow,1.2012719496703363
81,Content optical flow,1.0273408195575513
82,Content optical flow,1.1320139407584884
83,Content optical flow,1.2975252360611305
84,Content optical flow,1.3004453952739976
85,Content optical flow,1.2129900691704585
86,Content optical flow,1.111672952904802
87,Content optical flow,1.330425686673301
88,Content optical flow,1.067249920857844
89,Content optical flow,1.202246244128351
90,Content optical flow,1.1690477566789994
91,Content optical flow,1.1727813046902558
92,Content optical flow,1.0718943726019874
93,Content optical flow,1.1002558389440318
94,Content optical flow,1.1691082222379987
95,Content optical flow,1.053656708406694
96,Content optical flow,0.9770349871880832
97,Content optical flow,1.0345694899712807
98,Content optical flow,1.0151653579216837
99,Content optical flow,0.9748855524544753
100,Content optical flow,0.9079246328035089
101,Content optical flow,0.9596193185047918
102,Content optical flow,0.8907665720272628
103,Content optical flow,0.7986075923866572
104,Content optical flow,0.8533019312109509
105,Content optical flow,0.809271932023433
106,Content optical flow,0.7910697441585615
107,Content optical flow,0.6516925107150782
108,Content optical flow,0.6802649925095469
109,Content optical flow,0.7274513764072986
110,Content optical flow,0.7305755512826845
111,Content optical flow,0.6712622310678809
112,Content optical flow,0.6373375729652749
113,Content optical flow,0.6503600294823578
114,Content optical flow,0.6464957019383553
115,Content optical flow,0.6761078090726157
116,Content optical flow,0.5827941227145625
117,Content optical flow,0.5070989129707479
118,Content optical flow,0.5587105481883526
119,Content optical flow,0.40386633726375887
120,Content optical flow,0.5178860198697169
121,Content optical flow,0.48356018729606093
122,Content optical flow,0.5070506711642422
123,Content optical flow,0.5384999995642553
124,Content optical flow,0.5150313671310361
125,Content optical flow,0.43018512231816897
126,Content optical flow,0.50349316743395
127,Content optical flow,0.4868391959583644
128,Content optical flow,0.5460115845088789
129,Content optical flow,0.5832944785231721
130,Content optical flow,0.5202222861944784
131,Content optical flow,0.6405371260370436
132,Content optical flow,0.6948632864706749
133,Content optical flow,0.6223637950513813
134,Content optical flow,0.7057484753141593
135,Content optical flow,0.5978250104178217
136,Content optical flow,0.6802774443960042
137,Content optical flow,0.7975490405971616
138,Content optical flow,0.6615652797158406
139,Content optical flow,0.7655511111605674
140,Content optical flow,0.7710345439324467
141,Content optical flow,0.9228996576579627
142,Content optical flow,0.9518642074449505
143,Content optical flow,0.8746555997178048
144,Content optical flow,0.9481227309294138
145,Content optical flow,0.8119729870131223
146,Content optical flow,1.0470961696647496
147,Content optical flow,1.0434419652653408
148,Content optical flow,1.1272759566639885
149,Content optical flow,0.9282809214898433
150,Content optical flow,1.1148965100743435
151,Content optical flow,1.0936650871014344
152,Content optical flow,0.9771738501692251
153,Content optical flow,1.1094707520468283
154,Content optical flow,1.1613348880889738
155,Content optical flow,1.2273573994413631
156,Content optical flow,1.2017055464340547
157,Content optical flow,1.1674420373754915
158,Content optical flow,1.2312708627543025
159,Content optical flow,1.2018068048288504
160,Content optical flow,1.1706069659584362
161,Content optical flow,1.1472997345498044
162,Content optical flow,1.2139407394982455
163,Content optical flow,1.2085025149250463
164,Content optical flow,1.3013178484572268
165,Content optical flow,1.1531640870931141
166,Content optical flow,1.2637509045232194
167,Content optical flow,1.1736215739579947
168,Content optical flow,1.2063093813529022
169,Content optical flow,1.0623920809572989
170,Content optical flow,1.0436314350320917
171,Content optical flow,1.0552976535147724
172,Content optical flow,1.1037959365778849
173,Content optical flow,1.0355142909195365
174,Content optical flow,1.0439070308772362
175,Content optical flow,0.9905928486446617
176,Content optical flow,1.005273484365251
177,Content optical flow,0.9268777277597398
178,Content optical flow,0.8545068683979936
179,Content optical flow,0.8877967229405677
0,Reference tracking,0.18108040449635365
1,Reference tracking,0.20403402377727503
2,Reference tracking,0.1841818789801098
3,Reference tracking,0.1904325807251067
4,Reference tracking,0.18844460173692812
5,Reference tracking,0.2089553866964049
6,Reference tracking,0.20849109850971173
7,Reference tracking,0.20866701843389324
8,Reference tracking,0.18868728842964713
9,Reference tracking,0.18816986430503463
10,Reference tracking,0.21218631847877545
11,Reference tracking,0.22022223490257695
12,Reference tracking,0.2317607158478197
13,Reference tracking,0.19480963590234002
14,Reference tracking,0.21654972044499504
15,Reference tracking,0.2004241637714854
16,Reference tracking,0.21117171774897175
17,Reference tracking,0.22190619908931053
18,Reference tracking,0.23783714312628804
19,Reference tracking,0.22154017462058134
20,Reference tracking,0.2206724409947623
21,Reference tracking,0.226731509212636
22,Reference tracking,0.24678433202196187
23,Reference tracking,0.2616466546111892
24,Reference tracking,0.2149524620595205
25,Reference tracking,0.23081054946601245
26,Reference tracking,0.22939796456448935
27,Reference tracking,0.2488878444574517
28,Reference tracking,0.2402216068743675
29,Reference tracking,0.2534440621226855
30,Reference tracking,0.22260190742044206
31,Reference tracking,0.23453590459367232
32,Reference tracking,0.22835940243186936
33,Reference tracking,0.21995840599520294
34,Reference tracking,0.23034444592567674
35,Reference tracking,0.21699111349401082
36,Reference tracking,0.25608281990259524
37,Reference tracking,0.23367078792050308
38,Reference tracking,0.2149675561272393
39,Reference tracking,0.2182487382268652
40,Reference tracking,0.24452874100582722
41,Reference tracking,0.21608051025912053
42,Reference tracking,0.22809898909921678
43,Reference tracking,0.22460265503134444
44,Reference tracking,0.22842464454154518
45,Reference tracking,0.22053255315364642
46,Reference tracking,0.20789713385847722
47,Reference tracking,0.2007292008554774
48,Reference tracking,0.18384067779544755
49,Reference tracking,0.2018233704888285
50,Reference tracking,0.20123572814064308
51,Reference tracking,0.19236469030587877
52,Reference tracking,0.19202760360156992
53,Reference tracking,0.17620561405824614
54,Reference tracking,0.21381564262088865
55,Reference tracking,0.1787140512543526
56,Reference tracking,0.16925146517958664
57,Reference tracking,0.17145694412039067
58,Reference tracking,0.17354852627055298
59,Reference tracking,0.1814357405785549
60,Reference tracking,0.14039050562542044
61,Reference tracking,0.1727259859329562
62,Reference tracking,0.15620643983322446
63,Reference tracking,0.15855610629047906
64,Reference tracking,0.17008631644142216
65,Reference tracking,0.1643152235704462
66,Reference tracking,0.14429160491600457
67,Reference tracking,0.14871692994447025
68,Reference tracking,0.1698109590064966
69,Reference tracking,0.16127385093092933
70,Reference tracking,0.15306795807108473
71,Reference tracking,0.14057582633696233
72,Reference tracking,0.14996520825133255
73,Reference tracking,0.1412491217924211
74,Reference tracking,0.128103668868123
75,Reference tracking,0.121024177051931
76,Reference tracking,0.13780071908621827
77,Reference tracking,0.13475117395209799
78,Reference tracking,0.14344288559421398
79,Reference tracking,0.12210499682880928
80,Reference tracking,0.14384470777255204
81,Reference tracking,0.12190306453493277
82,Reference tracking,0.14079976405435768
83,Reference tracking,0.13189093635115615
84,Reference tracking,0.11818457038526767
85,Reference tracking,0.11368562650294814
86,Reference tracking,0.12372033870300835
87,Reference tracking,0.12227979400165531
88,Reference tracking,0.1371856542443458
89,Reference tracking,0.11822281433354628
90,Reference tracking,0.10956788366049008
91,Reference tracking,0.12802745349901162
92,Reference tracking,0.1524333844562948
93,Reference tracking,0.15028462385866764
94,Reference tracking,0.12457809281663296
95,Reference tracking,0.13031355410850007
96,Reference tracking,0.1391382813833523
97,Reference tracking,0.12919760451589724
98,Reference tracking,0.1361923156277679
99,Reference tracking,0.1379331628107836
100,Reference tracking,0.13086135993854212
101,Reference tracking,0.1383765937315473
102,Reference tracking,0.14242122751562758
103,Reference tracking,0.15360025264688798
104,Reference tracking,0.13921353556819888
105,Reference tracking,0.15738700032371555
106,Reference tracking,0.14712401337573638
107,Reference tracking,0.15205325905405923
108,Reference tracking,0.15117983205747512
109,Reference tracking,0.21576832388425163
110,Reference tracking,0.18570241131386211
111,Reference tracking,0.1897854570845226
112,Reference tracking,0.18644336586306587
113,Reference tracking,0.17691669383531952
114,Reference tracking,0.1836052117307825
115,Reference tracking,0.1893101376221786
116,Reference tracking,0.19423616070157176
117,Reference tracking,0.199005201890783
118,Reference tracking,0.21315189480016905
119,Reference tracking,0.16222814718603978
120,Reference tracking,0.19395019492413096
121,Reference tracking,0.21154079421600036
122,Reference tracking,0.20184107943101598
123,Reference tracking,0.2069052219347306
124,Reference tracking,0.2292377524182719
125,Reference tracking,0.21610499571220573
126,Reference tracking,0.23755506672701
127,Reference tracking,0.21788330890770302
128,Reference tracking,0.22338398918559166
129,Reference tracking,0.20973686917553255
130,Reference tracking,0.20055672682911424
131,Reference tracking,0.22111910566336104
132,Reference tracking,0.22847459180981763
133,Reference tracking,0.22503088725271791
134,Reference tracking,0.21429095537211504
135,Reference tracking,0.23949243694874786
136,Reference tracking,0.2334431731043683
137,Reference tracking,0.23351741894730313
138,Reference tracking,0.22471363752521362
139,Reference tracking,0.2543268548813246
140,Reference tracking,0.2525900492759676
141,Reference tracking,0.23869973852225088
142,Reference tracking,0.23359092768160447
143,Reference tracking,0.23782482295683866
144,Reference tracking,0.2547892597128818
145,Reference tracking,0.2676284768972052
146,Reference tracking,0.23335062719111363
147,Reference tracking,0.2272236241066679
148,Reference tracking,0.20957391123553484
149,Reference tracking,0.26372595989070635
150,Reference tracking,0.21555723076944122
151,Reference tracking,0.23780872529148284
152,Reference tracking,0.2317076558651146
153,Reference tracking,0.23994805783192882
154,Reference tracking,0.2116944923218707
155,Reference tracking,0.20053305235759128
156,Reference tracking,0.21962102841547343
157,Reference tracking,0.22049213769036327
158,Reference tracking,0.2269701426857051
159,Reference tracking,0.1904477403138595
160,Reference tracking,0.20265118038627686
161,Reference tracking,0.20227175412584905
162,Reference tracking,0.18643470435842288
163,Reference tracking,0.19791297350585357
164,Reference tracking,0.20659660780229228
165,Reference tracking,0.19365316851073372
166,Reference tracking,0.1738068262135358
167,Reference tracking,0.1922414697397787
168,Reference tracking,0.1953579836761416
169,Reference tracking,0.18844115464648217
170,Reference tracking,0.18842847558243223
171,Reference tracking,0.15604457745026024
172,Reference tracking,0.17839167949292814
173,Reference tracking,0.1770484544995891
174,Reference tracking,0.16233995307542964
175,Reference tracking,0.16325159106016626
176,Reference tracking,0.1517452079834473
177,Reference tracking,0.1730169690049695
178,Reference tracking,0.15182689088337611
179,Reference tracking,0.14137954804977781
0,Reference + residual align,0.14784892357497376
1,Reference + residual align,0.1486862301354412
2,Reference + residual align,0.15707189718718725
3,Reference + residual align,0.14067615318255924
4,Reference + residual align,0.1441761031395116
5,Reference + residual align,0.15846720057139246
6,Reference + residual align,0.18222009476917295
7,Reference + residual align,0.16241873497953738
8,Reference + residual align,0.14182508720648132
9,Reference + residual align,0.16154355827950728
10,Reference + residual align,0.15141367579851778
11,Reference + residual align,0.13971198456328354
12,Reference + residual align,0.15484122924324115
13,Reference + residual align,0.1571884569582485
14,Reference + residual align,0.17008473460564513
15,Reference + residual align,0.18180585315982567
16,Reference + residual align,0.1804182028230702
17,Reference + residual align,0.1771766718935053
18,Reference + residual align,0.16289054162737557
19,Reference + residual align,0.17050878029191666
20,Reference + residual align,0.1686097812601809
21,Reference + residual align,0.18638364980235972
22,Reference + residual align,0.16189881940830486
23,Reference + residual align,0.16331676626120956
24,Reference + residual align,0.1880014259861314
25,Reference + residual align,0.1769698051473606
26,Reference + residual align,0.16455465390687882
27,Reference + residual align,0.17176388389364297
28,Reference + residual align,0.17131767708494522
29,Reference + residual align,0.17143939027331162
30,Reference + residual align,0.17834892179511144
31,Reference + residual align,0.1726104246769946
32,Reference + residual align,0.16537893262032974
33,Reference + residual align,0.16080344375294972
34,Reference + residual align,0.14534557760174932
35,Reference + residual align,0.15998863574236122
36,Reference + residual align,0.17804988841780015
37,Reference + residual align,0.16600011474210666
38,Reference + residual align,0.1543279193414259
39,Reference + residual align,0.1580809792680221
40,Reference + residual align,0.14946394591732284
41,Reference + residual align,0.161945585963974
42,Reference + residual align,0.18120950273852107
43,Reference + residual align,0.1773793130838981
44,Reference + residual align,0.16858267362289422
45,Reference + residual align,0.16202314381126623
46,Reference + residual align,0.14830802011708408
47,Reference + residual align,0.13447358263567358
48,Reference + residual align,0.1478457196410304
49,Reference + residual align,0.14059234195158787
50,Reference + residual align,0.15422318643754318
51,Reference + residual align,0.14434933949509823
52,Reference + residual align,0.1337007911734786
53,Reference + residual align,0.144210818711224
54,Reference + residual align,0.17200991169137803
55,Reference + residual align,0.12413010539322554
56,Reference + residual align,0.14679566470104566
57,Reference + residual align,0.13840311475749154
58,Reference + residual align,0.12817708635701563
59,Reference + residual align,0.11834358058531116
60,Reference + residual align,0.1258075685198008
61,Reference + residual align,0.1263214464356305
62,Reference + residual align,0.13106160460536784
63,Reference + residual align,0.12842732689448896
64,Reference + residual align,0.12197684135979425
65,Reference + residual align,0.10812943448683623
66,Reference + residual align,0.1181986188434189
67,Reference + residual align,0.10721485543267074
68,Reference + residual align,0.09857954158152174
69,Reference + residual align,0.12024130637849535
70,Reference + residual align,0.09987770146051134
71,Reference + residual align,0.09193299298705643
72,Reference + residual align,0.10581071097250346
73,Reference + residual align,0.08015152443956604
74,Reference + residual align,0.1011649486531867
75,Reference + residual align,0.10601050369751897
76,Reference + residual align,0.09431618858380765
77,Reference + residual align,0.10103792344978556
78,Reference + residual align,0.12295116246286575
79,Reference + residual align,0.11313564175503528
80,Reference + residual align,0.10626199377017916
81,Reference + residual align,0.10138504869760824
82,Reference + residual align,0.08716326528465523
83,Reference + residual align,0.0909777158032233
84,Reference + residual align,0.08858283041011955
85,Reference + residual align,0.09179710742300873
86,Reference + residual align,0.09241207734949662
87,Reference + residual align,0.08091389219196125
88,Reference + residual align,0.1097235860208045
89,Reference + residual align,0.07765166415947614
90,Reference + residual align,0.09441452434568481
91,Reference + residual align,0.10246312291465508
92,Reference + residual align,0.08977617874743472
93,Reference + residual align,0.08225326166967499
94,Reference + residual align,0.09093645292707005
95,Reference + residual align,0.11420494968525391
96,Reference + residual align,0.09884778909671799
97,Reference + residual align,0.08839081445306937
98,Reference + residual align,0.09950471435786719
99,Reference + residual align,0.09083074116927828
100,Reference + residual align,0.07145508214354371
101,Reference + residual align,0.09777410947970304
102,Reference + residual align,0.10830683593242973
103,Reference + residual align,0.11068097046715117
104,Reference + residual align,0.09713294252393363
105,Reference + residual align,0.08213360223045982
106,Reference + residual align,0.11472453409436095
107,Reference + residual align,0.09978413988048805
108,Reference + residual align,0.1118709301252815
109,Reference + residual align,0.11802648525244483
110,Reference + residual align,0.11001249518195957
111,Reference + residual align,0.10674830181112391
112,Reference + residual align,0.1015329127624624
113,Reference + residual align,0.1055178509879138
114,Reference + residual align,0.11277506646806093
115,Reference + residual align,0.10856930492946515
116,Reference + residual align,0.12025262323710548
117,Reference + residual align,0.09419350606866023
118,Reference + residual align,0.10732981202048349
119,Reference + residual align,0.12094332023782833
120,Reference + residual align,0.1148343267986904
121,Reference + residual align,0.11859082597549346
122,Reference + residual align,0.11326575001415883
123,Reference + residual align,0.13689136217267325
124,Reference + residual align,0.15030803083805158
125,Reference + residual align,0.12052571541223348
126,Reference + residual align,0.148301247227293
127,Reference + residual align,0.11890686815945656
128,Reference + residual align,0.13991308448498277
129,Reference + residual align,0.11602612477057912
130,Reference + residual align,0.14772491149909134
131,Reference + residual align,0.1439435537119861
132,Reference + residual align,0.14713511244152935
133,Reference + residual align,0.16178676357869756
134,Reference + residual align,0.15597256488695563
135,Reference + residual align,0.15017106434795185
136,Reference + residual align,0.14224430788421477
137,Reference + residual align,0.15422780075711168
138,Reference + residual align,0.14678979048962837
139,Reference + residual align,0.15146898736987893
140,Reference + residual align,0.17566197303822748
141,Reference + residual align,0.16974198154991832
142,Reference + residual align,0.16391987385374135
143,Reference + residual align,0.16918101829900728
144,Reference + residual align,0.14541391574048923
145,Reference + residual align,0.16503197739422143
146,Reference + residual align,0.1443913406147475
147,Reference + residual align,0.15756704155904286
148,Reference + residual align,0.17077596964513633
149,Reference + residual align,0.17155881149830943
150,Reference + residual align,0.17605044392227648
151,Reference + residual align,0.17001198714316132
152,Reference + residual align,0.16917710132011216
153,Reference + residual align,0.16887418467415438
154,Reference + residual align,0.1860257377615824
155,Reference + residual align,0.1849302067096586
156,Reference + residual align,0.151923290258508
157,Reference + residual align,0.17093052222026892
158,Reference + residual align,0.18475938554271706
159,Reference + residual align,0.1659975433417144
160,Reference + residual align,0.1714088917090541
161,Reference + residual align,0.16115863740050942
162,Reference + residual align,0.15348511639194615
163,Reference + residual align,0.1689133522099717
164,Reference + residual align,0.16172727534066714
165,Reference + residual align,0.16393055808265783
166,Reference + residual align,0.14765041312418414
167,Reference + residual align,0.15016800432534208
168,Reference + residual align,0.1614653410189075
169,Reference + residual align,0.15661994442523355
170,Reference + residual align,0.16737429801059295
171,Reference + residual align,0.1469077299163543
172,Reference + residual align,0.16673442875644406
173,Reference + residual align,0.16369130835780135
174,Reference + residual align,0.15654555730212724
175,Reference + residual align,0.16168634829393644
176,Reference + residual align,0.15141326710921388
177,Reference + residual align,0.14847418319156558
178,Reference + residual align,0.14882334369200406
179,Reference + residual align,0.13227463870850079
